city,state,country,magicbricks_url
Bareilly,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-bareilly
Bharauri,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-bharauri
Budaun,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-budaun
Bulandshahr,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-bulandshahr
Firozabad,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-firozabad
Fyzabad,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-fyzabad
Ghaziabad,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-ghaziabad
Gopalpur,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-gopalpur
Hapur,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-hapur
Hata,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-hata
Jhansi,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-jhansi
Lucknow,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-lucknow
Mathura,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-mathura
Meerut,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-meerut
Mirzapur,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-mirzapur
Moradabad,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-moradabad
Muzaffarnagar,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-muzaffarnagar
Pilibhit,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-pilibhit
Saharanpur,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-saharanpur
Saidapur,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-saidapur
Shahbazpur,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-shahbazpur
Tharati Etawah,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-tharati-etawah
Varanasi,Uttar Pradesh,India,https://www.magicbricks.com/builders-in-varanasi
DehraDun,Uttarakhand,India,https://www.magicbricks.com/builders-in-dehradun
Alipurduar,West Bengal,India,https://www.magicbricks.com/builders-in-alipurduar
Asansol,West Bengal,India,https://www.magicbricks.com/builders-in-asansol
Barddhaman,West Bengal,India,https://www.magicbricks.com/builders-in-barddhaman
Bhatpara,West Bengal,India,https://www.magicbricks.com/builders-in-bhatpara
Haldia,West Bengal,India,https://www.magicbricks.com/builders-in-haldia
Haora,West Bengal,India,https://www.magicbricks.com/builders-in-haora
Kolkata,West Bengal,India,https://www.magicbricks.com/builders-in-kolkata
Krishnanagar,West Bengal,India,https://www.magicbricks.com/builders-in-krishnanagar
Shiliguri,West Bengal,India,https://www.magicbricks.com/builders-in-shiliguri
