geo_key,latitude,longitude
"Mullick Bazar,Kolkata, Guntur, Andhra Pradesh, India",22.5799977,88.3543311
"Kalighat,Kolkata, Guntur, Andhra Pradesh, India",22.5153313,88.3477052
"Lake Gardens,Kolkata, Guntur, Andhra Pradesh, India",22.5080547,88.3533289
"Rash Behari Avenue,Kolkata, Guntur, Andhra Pradesh, India",22.5170535,88.3473884
"Anil Maitra Road,Kolkata, Guntur, Andhra Pradesh, India",22.5258628,88.3698056
"Dombivli West,Thane, Guntur, Andhra Pradesh, India",19.2221822,73.0809274
"Andheri West,Mumbai, Guntur, Andhra Pradesh, India",19.1172495,72.833968
"Thergaon,Pune, Guntur, Andhra Pradesh, India",18.609275,73.7729374
"Loudon Street,Kolkata, Guntur, Andhra Pradesh, India",22.54498,88.3566553
"Raja Basanta Roy Road,Kolkata, Guntur, Andhra Pradesh, India",22.5137651,88.3510421
"Naya Raipur,Raipur, Guntur, Andhra Pradesh, India",21.1610268,81.7864412
"Sector 13 Rohini,New Delhi, Guntur, Andhra Pradesh, India",,
"Kunchanapalli,Guntur, Guntur, Andhra Pradesh, India",16.4620153,80.6174397
"Nanakram Guda,Hyderabad, Guntur, Andhra Pradesh, India",,
"Kothaguda,Hyderabad, Guntur, Andhra Pradesh, India",17.458705,78.3638803
"Narsingi,Hyderabad, Guntur, Andhra Pradesh, India",17.3996471,78.351242
"Gandipet,Hyderabad, Guntur, Andhra Pradesh, India",17.3650805,78.3957009
"Hyder Nagar,Hyderabad, Guntur, Andhra Pradesh, India",17.5014133,78.3842003
"Bowrampet,Hyderabad, Guntur, Andhra Pradesh, India",17.5457451,78.3970359
"Ayyappa Nagar,Vijayawada, Guntur, Andhra Pradesh, India",16.4854959,80.6741135
"Kantheru,Guntur, Guntur, Andhra Pradesh, India",16.3930665,80.5037355
"Benz Circle,Vijayawada, Guntur, Andhra Pradesh, India",16.4984418,80.6526978
"Kalaparru,Vijayawada, Guntur, Andhra Pradesh, India",,
"Nizampet,Hyderabad, Guntur, Andhra Pradesh, India",17.5032764,78.3882804
"Tukkuguda,Hyderabad, Guntur, Andhra Pradesh, India",17.3836154,78.4036544
"Gudavalli,Vijayawada, Guntur, Andhra Pradesh, India",16.5094182,80.7498266
"Kaza,Guntur, Guntur, Andhra Pradesh, India",16.3890935,80.5405569
"Amaravathi,Guntur, Guntur, Andhra Pradesh, India",16.4804399,80.5443811
"Gorantla,Guntur, Guntur, Andhra Pradesh, India",16.3430975,80.4410948
"Bannerghatta Road,Bangalore, Guntur, Andhra Pradesh, India",12.9490578,77.6028779
"Kundalahalli,Bangalore, Guntur, Andhra Pradesh, India",12.977594,77.7155586
"HAL Stage 2,Bangalore, Guntur, Andhra Pradesh, India",12.9715338,77.6497819
"Mahatma Gandhi Road,Bangalore, Guntur, Andhra Pradesh, India",12.9755264,77.6067902
"Sainikpuri,Hyderabad, Guntur, Andhra Pradesh, India",17.4892154,78.5424889
"Alkapuri,Hyderabad, Guntur, Andhra Pradesh, India",17.3662342,78.5549781
"Taloja,Navi Mumbai, Guntur, Andhra Pradesh, India",19.0837812,73.0896844
"Pattabhipuram,Guntur, Guntur, Andhra Pradesh, India",16.3113655,80.4139149
"Madinaguda,Hyderabad, Guntur, Andhra Pradesh, India",17.4917948,78.342306
"Sagar Nagar,Visakhapatnam, Guntur, Andhra Pradesh, India",17.7671495,83.3580536
"Dronagiri,Navi Mumbai, Guntur, Andhra Pradesh, India",,
"Undri,Pune, Guntur, Andhra Pradesh, India",18.4516318,73.8927348
"Balapur,Hyderabad, Guntur, Andhra Pradesh, India",17.3090714,78.502772
"Shirur,Pune, Guntur, Andhra Pradesh, India",18.7610989,74.209529
"Nadargul,Hyderabad, Guntur, Andhra Pradesh, India",17.3055481,78.5614916
"Syamalla Nagar,Guntur, Guntur, Andhra Pradesh, India",,
"Pragathi Nagar,Hyderabad, Guntur, Andhra Pradesh, India",17.5200154,78.3968876
"Jijai Nagar,Pune, Guntur, Andhra Pradesh, India",18.4544079,73.824805
"Peda Palakaluru,Guntur, Guntur, Andhra Pradesh, India",16.3323895,80.3797957
"JKC College Road,Guntur, Guntur, Andhra Pradesh, India",,
"Chuttu Gunta,Guntur, Guntur, Andhra Pradesh, India",,
"Tadikonda,Guntur, Guntur, Andhra Pradesh, India",16.4183389,80.4546278
"Electronic City,Bangalore, Guntur, Andhra Pradesh, India",12.8487599,77.648253
"Chikhali,Pune, Guntur, Andhra Pradesh, India",18.6642449,73.8266835
"Begur Road,Bangalore, Guntur, Andhra Pradesh, India",12.8745738,77.6254592
"Ameenpur,Hyderabad, Guntur, Andhra Pradesh, India",17.5236905,78.3317297
"Thambu Chetty Palya,Bangalore, Guntur, Andhra Pradesh, India",,
"KR Puram,Bangalore, Guntur, Andhra Pradesh, India",13.007516,77.695935
"Habsiguda,Hyderabad, Guntur, Andhra Pradesh, India",17.4154761,78.5426918
"C V Raman Nagar,Bangalore, Guntur, Andhra Pradesh, India",12.9856478,77.6649767
"Uppal,Hyderabad, Guntur, Andhra Pradesh, India",17.4025091,78.5612562
"Indira Nagar,Bangalore, Guntur, Andhra Pradesh, India",12.9732913,77.6404672
"Ibrahimpatnam,Vijayawada, Guntur, Andhra Pradesh, India",16.5830507,80.5486512
"Tenali,Guntur, Guntur, Andhra Pradesh, India",16.2377735,80.6464219
"Mangalagiri,Guntur, Guntur, Andhra Pradesh, India",16.4318209,80.5688069
"Payakapuram,Vijayawada, Guntur, Andhra Pradesh, India",16.5489197,80.6496014
"NH-5,Guntur, Guntur, Andhra Pradesh, India",16.2915189,80.4541588
"Mangalagiri,Vijayawada, Guntur, Andhra Pradesh, India",16.4510075,80.543647
"Atchutapuram,Visakhapatnam, Guntur, Andhra Pradesh, India",17.5603184,82.9774949
"Kanchikacherla,Vijayawada, Guntur, Andhra Pradesh, India",,
"Bhavanipuram,Vijayawada, Guntur, Andhra Pradesh, India",16.5261449,80.5930924
"Chilakaluripet,Guntur, Guntur, Andhra Pradesh, India",16.2906071,80.4247742
"Vidhya Nagar,Guntur, Guntur, Andhra Pradesh, India",15.9155248,80.4825272
"Shankarpalle Rangareddy,Hyderabad, Guntur, Andhra Pradesh, India",,
"Srinagar Colony,Guntur, Guntur, Andhra Pradesh, India",16.3099336,80.4402919
"APHB Colony,Guntur, Guntur, Andhra Pradesh, India",16.298827,80.4061494
"Mamidala Padu,Kurnool, Kurnool, Andhra Pradesh, India",,
"Bibinagar,Hyderabad, Kurnool, Andhra Pradesh, India",,
"Atmakur,Kurnool, Kurnool, Andhra Pradesh, India",,
"Ankushapur,Hyderabad, Kurnool, Andhra Pradesh, India",,
"Adibatla,Hyderabad, Kurnool, Andhra Pradesh, India",,
"Municipal Quarters,Machilipatnam, Machilipatnam, Andhra Pradesh, India",,
"Tada,Nellore, Nellore, Andhra Pradesh, India",,
"Deevancheru,Rajahmundry, Rajahmundry, Andhra Pradesh, India",,
"Anandapuram,Visakhapatnam, Rajahmundry, Andhra Pradesh, India",17.9038926,83.3704973
"Ayinada,Visakhapatnam, Rajahmundry, Andhra Pradesh, India",18.045436,83.3974039
"Bhogapuram,Visakhapatnam, Rajahmundry, Andhra Pradesh, India",,
"Chelluru,Vizianagaram, Rajahmundry, Andhra Pradesh, India",18.0571417,83.3971313
"Kothavalasa,Visakhapatnam, Rajahmundry, Andhra Pradesh, India",17.8992664,83.2568241
"Jami,Vizianagaram, Rajahmundry, Andhra Pradesh, India",18.0517982,83.2629541
"Madhurawada,Visakhapatnam, Rajahmundry, Andhra Pradesh, India",17.8102465,83.3540167
"Tukkuguda,Hyderabad, Rajahmundry, Andhra Pradesh, India",17.3836154,78.4036544
"Kondapur,Hyderabad, Rajahmundry, Andhra Pradesh, India",17.4587912,78.3730556
"Shankarpalli Road,Hyderabad, Rajahmundry, Andhra Pradesh, India",,
"Jonnada,Vizianagaram, Rajahmundry, Andhra Pradesh, India",18.0265966,83.4061689
"Diwancheruvu,Rajahmundry, Rajahmundry, Andhra Pradesh, India",17.0456404,81.8196171
"Rajapulova,Visakhapatnam, Rajahmundry, Andhra Pradesh, India",,
"Sangareddy,Hyderabad, Rajahmundry, Andhra Pradesh, India",17.5277951,78.267446
"Peddapuram,East Godavari, Rajahmundry, Andhra Pradesh, India",17.0988507,81.5715054
"Nagole,Hyderabad, Rajahmundry, Andhra Pradesh, India",17.3775306,78.5601231
"Bommuru,Rajahmundry, Rajahmundry, Andhra Pradesh, India",16.9756177,81.788431
"Rajanagaram,Rajahmundry, Rajahmundry, Andhra Pradesh, India",17.027867,81.8168338
"Kilpauk,Chennai, Rajahmundry, Andhra Pradesh, India",13.0832149,80.2379864
"Alcot Gardens,Rajahmundry, Rajahmundry, Andhra Pradesh, India",,
"Srirampuram Road,Rajahmundry, Rajahmundry, Andhra Pradesh, India",,
"Gannavaram,Vijayawada, Rajahmundry, Andhra Pradesh, India",16.5133305,80.7076296
"Tiruchanoor,Tirupati, Tirupati, Andhra Pradesh, India",,
"Kelambakkam,Chennai, Tirupati, Andhra Pradesh, India",12.8012825,80.1991871
"Kalavakkam,Chennai, Tirupati, Andhra Pradesh, India",12.746255,80.2016839
"OMR,Chennai, Tirupati, Andhra Pradesh, India",12.8886985,80.2272652
"Sriperumbudur,Chennai, Tirupati, Andhra Pradesh, India",13.0347051,80.156023
"Mahabalipuram,Chennai, Tirupati, Andhra Pradesh, India",12.9122358,80.2290329
"Old Madras Road,Bangalore, Tirupati, Andhra Pradesh, India",13.0083877,77.6940973
"East Coast Road,Chennai, Tirupati, Andhra Pradesh, India",12.9774585,80.2591826
"Thiruvanmiyur,Chennai, Tirupati, Andhra Pradesh, India",12.9858948,80.2644215
"Cheyur,Kancheepuram, Tirupati, Andhra Pradesh, India",,
