address,lat,lon
"Kalavakkam,Chennai, India",12.746255,80.2016839
"OMR,Chennai, India",12.8886985,80.2272652
"Sriperumbudur,Chennai, India",13.0347051,80.156023
"East Coast Road,Chennai, India",12.9774585,80.2591826
"Mahabalipuram,Chennai, India",12.9122358,80.2290329
"Old Madras Road,Bangalore, India",13.0083877,77.6940973
"Thiruvanmiyur,Chennai, India",12.9858948,80.2644215
"Cheyur,Kancheepuram, India",,
"Kottivakkam,Chennai, India",12.9705053,80.2615033
"Perungudi,Chennai, India",12.9710239,80.2418051
"Kolanupaka,Hyderabad, India",,
"Anjimedu,Tirupati, India",,
"Renigunta,Tirupati, India",13.6384508,79.5105191
"LIC Colony,Vijayawada, India",16.5088095,80.6538021
"Mangalam Road,Tirupati, India",13.6563986,79.4685982
"Mangalam,Tirupati, India",13.3986645,79.5646421
"Thondavada,Tirupati, India",,
"Padmavathi Nagar,Tirupati, India",13.6206032,79.405172
"Karakambadi Road,Tirupati, India",13.6586253,79.4799
"Cherlopalli,Tirupati, India",13.6117907,79.3639369
"Surappakasam,Tirupati, India",13.5831527,79.503938
"Akkarampalle,Tirupati, India",13.6434265,79.4356125
"Rangampet,Tirupati, India",13.6238842,79.2779619
"Avilala,Tirupati, India",13.6122993,79.4184205
"SV Auto Nagar,Tirupati, India",,
"Akkivaram,Vizianagaram, India",18.017289,83.4661214
"Thatituru,Visakhapatnam, India",,
"Dwarapudi,Vizianagaram, India",18.1402595,83.3710232
"Etcherla,Srikakulam, India",18.2800048,83.8200482
"Bhogapuram,Vizianagaram, India",18.0321195,83.4978188
"Parawada,Visakhapatnam, India",17.629732,83.089794
"Modavalasa,Vizianagaram, India",,
"Sadashivpet,Hyderabad, India",,
"Kondakal,Hyderabad, India",,
"Kesarapalli,Vijayawada, India",,
"Srisailam Highway,Hyderabad, India",17.3232946,78.480139
"Padmanabham,Visakhapatnam, India",17.9894415,83.3325255
"Thagarapuvalasa,Vizianagaram, India",,
"Visakhapatnam,Visakhapatnam, India",17.6935526,83.2921297
"Patancheru,Hyderabad, India",17.5286092,78.2674254
"Simhachalam,Visakhapatnam, India",17.7453138,83.2207916
"Medchal,Hyderabad, India",17.3630295,78.5768953
"Majjivalasa,Visakhapatnam, India",17.9492962,83.3927994
"Mopada,Visakhapatnam, India",,
"Sontyam,Visakhapatnam, India",17.8660372,83.2946041
"Kandi,Hyderabad, India",17.5168428,78.3504968
"Vizag,Visakhapatnam, India",17.6935526,83.2921297
"Nandigaon,Hyderabad, India",17.1185749,78.2519325
"Venkatapuram,Hyderabad, India",17.496189,78.5043108
