city,state,country,builder_name,project_name,location_text,status,project_type,budget_raw,source
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Vilas,"Sector 25,Gurgaon",completed,"3, 4, 5, 6 BHK 
										..",₹2.67 Cr   -₹7.32 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Metropolis,"Mehrauli Gurgaon Road,Gurgaon",completed,Commercial Office Space..,₹2 Cr   -₹2.35 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Colonnade,"Sector 66,Gurgaon",completed,,₹4.20 Cr   -₹5.02 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Palm Square,"Golf Course Extension Road,Gurgaon",completed,"4 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Bungalows,"Sector 109,Mohali",completed,"4 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Common Wealth Games Village,"Commonwealth Games Village,New Delhi",completed,"5 BHK 
										..",₹3.57 Cr   -₹3.93 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar EBD 65,"Sector 65,Gurgaon",completed,,₹1.35 Cr   -₹3.75 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Classic,"Sector 65,Gurgaon",completed,,₹3.85 Cr   -₹8.89 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Springs Plaza,"Golf Course Road,Gurgaon",completed,,₹8.49 Cr   -₹10.76 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Select,"Sector 77,Gurgaon",completed,,₹2.20 Cr   -₹2.80 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Grace,"Tondiarpet,Chennai",completed,,₹1.44 Cr   -₹1.50 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Indore Greens,"Airport Road,Indore",completed,,₹20.9 Lac   -₹37.2 Lac,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar EMAAR MGF Mockup Villas,"Sector 22,Gurgaon",completed,,₹5.98 Cr   -₹6.49 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Garden Terraces,"Sohna Road,Gurgaon",completed,,₹1.42 Cr   -₹1.78 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Palm Studios,"Sector 66,Gurgaon",completed,,₹2.26 Cr Onwards,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Meadows,"Sector 76,Gurgaon",completed,,₹3.88 Cr   -₹5.13 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mohali Hill Villas,"Sector 105 Emaar MGF,Mohali",completed,,₹1.30 Cr   -₹1.35 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Project Commonwealth Games Village 2010,"Commonwealth Games Village,New Delhi",completed,,₹3.57 Cr   -₹3.93 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Downtown Capital Tower 1,"Sector 26,Gurgaon",completed,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar THE ESPLANADE,"Tondiarpet,Chennai",completed,,₹1.44 Cr   -₹1.50 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Avenues,"Tondiarpet,Chennai",completed,,₹1.44 Cr   -₹1.50 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sky Terraces,"Sector 66,Gurgaon",completed,,₹4.20 Cr   -₹5.02 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Commerce Park,"Golf Course Extension Road,Gurgaon",completed,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,punet test,Test Test Prella,"Long Island,Andaman & Nicobar",ongoing,"2 BHK 
										..",,magicbricks
Port Blair,Andaman and Nicobar Islands,India,punet test,Andaman project test,"Buniyadabad,Port Blair",ongoing,,,magicbricks
Port Blair,Andaman and Nicobar Islands,India,punet test,rktesttwosub,"Camorta Island test,Andaman & Nicobar",completed,,₹75.2 Lac   -₹1.0 Cr,magicbricks
Port Blair,Andaman and Nicobar Islands,India,Shekhar Binawat Developer,Project Avatar,"Aberdeen Village,Port Blair",completed,,,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Newlands,"Tellapur,Hyderabad",ongoing,"3 BHK 
										Multistorey Apartment..",₹1.42 Cr   -₹1.92 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyber Shine,"Osman Nagar,Hyderabad",ongoing,"2, 3 BHK 
										Multistorey Apartment..",₹97.2 Lac   -₹1.86 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyberon,"Osman Nagar,Hyderabad",ongoing,"3 BHK 
										Multistorey Apartment..",₹1.22 Cr   -₹2.11 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Elixir,"Manikonda,Hyderabad",ongoing,"3, 4, 5, 6 BHK 
										..",₹1.23 Cr   -₹1.46 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyber Star,"Osman Nagar,Hyderabad",ongoing,"2, 3 BHK 
										Multistorey Apartment..",₹92.2 Lac   -₹1.81 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyberscape,"Nallagandla,Hyderabad",ongoing,"2, 3 BHK 
										Multistorey Apartment..",₹1.51 Cr   -₹2.35 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna CyberHeights,"Osman Nagar,Hyderabad",ongoing,"2, 3 BHK 
										Multistorey Apartment..",₹1.18 Cr   -₹1.74 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Avani,"Isnapur,Hyderabad",ongoing,Residential Plot..,₹86 Lac   -₹1.24 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Serenity,"Kompally,Hyderabad",ongoing,"2, 3, 4 BHK 
										Multistorey Apartment..",₹1.02 Cr   -₹2.18 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Sarovar Zicon,"Nallagandla,Hyderabad",ongoing,"2, 3, 4 BHK 
										Multistorey Apartment..",₹1.45 Cr   -₹3.23 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Altius,"Shamshabad,Hyderabad",ongoing,"2, 3 BHK 
										Multistorey Apartment..",₹1.22 Cr   -₹1.91 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Kanopy Yellow Bells,"Gundlapochampally,Hyderabad",ongoing,"2, 3 BHK 
										Multistorey Apartment..",₹87.8 Lac   -₹1.29 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Palmwoods,"Kompally,Hyderabad",ongoing,"3 BHK 
										Multistorey Apartment..",₹72.9 Lac   -₹1.62 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Sunstone,"Gopanapalli,Hyderabad",ongoing,"3 BHK 
										Multistorey Apartment..",₹1.18 Cr   -₹2.03 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Sarovar Towers,"Nallagandla,Hyderabad",ongoing,,₹2.87 Cr   -₹3.68 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Zenon,"Puppalaguda,Hyderabad",completed,Multistorey Apartment..,₹1.45 Cr   -₹2.48 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hillpark Silver Oaks,"Chanda Nagar,Hyderabad",completed,"2, 3 BHK 
										..",₹1.38 Cr   -₹1.89 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyber Commune,"Nallagandla,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1.05 Cr   -₹1.50 Cr,magicbricks
