city,state,country,builder_name,project_name,location_text,status,budget_raw,latitude,longitude,project_type,source,geo_key
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Jaipur Greens,"Ajmer Road,Jaipur",completed,₹44.3 Lac   -₹64.5 Lac,26.9145574,75.7939878,,magicbricks,"Ajmer Road,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Views,"Sector 105 Emaar MGF,Mohali",completed,₹1.25 Cr   -₹1.35 Cr,,,"2, 3, 4, 5 BHK 
										..",magicbricks,"Sector 105 Emaar MGF,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Premier,"Sector 77,Gurgaon",completed,₹3.82 Cr   -₹3.86 Cr,28.3832337,76.982557,"3 BHK 
										..",magicbricks,"Sector 77,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Common Wealth Games Village,"Commonwealth Games Village,New Delhi",completed,₹3.71 Cr   -₹4.52 Cr,,,"5 BHK 
										..",magicbricks,"Commonwealth Games Village,New Delhi, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Villas,"Sector-106,Mohali",completed,,30.6665244,76.6762447,"5 BHK 
										..",magicbricks,"Sector-106,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Terraces,"Sector 66,Gurgaon",completed,₹4.30 Cr   -₹4.65 Cr,28.3974292,77.0538823,"4 BHK 
										..",magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Digital Greens,"Sector 61,Gurgaon",completed,,28.4110188,77.0963685,,magicbricks,"Sector 61,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Vilas,"Sector 25,Gurgaon",completed,₹3.16 Cr   -₹8.64 Cr,28.4860888,77.084224,"3, 4, 5, 6 BHK 
										..",magicbricks,"Sector 25,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Palm Square,"Golf Course Extension Road,Gurgaon",completed,,28.4090032,77.0658497,"4 BHK 
										..",magicbricks,"Golf Course Extension Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Colonnade,"Sector 66,Gurgaon",completed,₹4.20 Cr   -₹4.74 Cr,28.3974292,77.0538823,,magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Bungalows,"Sector 109,Mohali",completed,,30.6574063,76.6723823,"4 BHK 
										..",magicbricks,"Sector 109,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar EBD 65,"Sector 65,Gurgaon",completed,₹1.35 Cr   -₹3.75 Cr,28.4030162,77.0695893,,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Palm Studios,"Sector 66,Gurgaon",completed,₹2.26 Cr Onwards,28.3974292,77.0538823,,magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar EMAAR MGF Mockup Villas,"Sector 22,Gurgaon",completed,₹6.10 Cr   -₹6.49 Cr,28.506318,77.0655182,,magicbricks,"Sector 22,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Garden Terraces,"Sohna Road,Gurgaon",completed,₹1.42 Cr   -₹2.52 Cr,28.4572009,77.0280333,,magicbricks,"Sohna Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Meadows,"Sector 76,Gurgaon",completed,₹3.84 Cr   -₹5.11 Cr,28.3910112,76.9900243,,magicbricks,"Sector 76,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Classic,"Sector 65,Gurgaon",completed,₹3.77 Cr   -₹8.02 Cr,28.4030162,77.0695893,,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Downtown Capital Tower 1,"Sector 26,Gurgaon",completed,,28.4779375,77.1032425,,magicbricks,"Sector 26,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Select,"Sector 77,Gurgaon",completed,₹1.96 Cr   -₹2.40 Cr,28.3832337,76.982557,,magicbricks,"Sector 77,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Indore Greens,"Airport Road,Indore",completed,₹20.9 Lac   -₹37.2 Lac,22.7205804,75.8399089,,magicbricks,"Airport Road,Indore, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Springs Plaza,"Golf Course Road,Gurgaon",completed,₹8.30 Cr   -₹10.55 Cr,28.4677319,77.0942263,,magicbricks,"Golf Course Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Grace,"Tondiarpet,Chennai",completed,₹1.45 Cr   -₹1.55 Cr,13.1275202,80.2819242,,magicbricks,"Tondiarpet,Chennai, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mohali Hill Villas,"Sector 105 Emaar MGF,Mohali",completed,₹1.25 Cr   -₹1.35 Cr,,,,magicbricks,"Sector 105 Emaar MGF,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Avenues,"Tondiarpet,Chennai",completed,₹1.45 Cr   -₹1.55 Cr,13.1275202,80.2819242,,magicbricks,"Tondiarpet,Chennai, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar THE ESPLANADE,"Tondiarpet,Chennai",completed,₹1.45 Cr   -₹1.55 Cr,13.1275202,80.2819242,,magicbricks,"Tondiarpet,Chennai, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Commerce Park,"Golf Course Extension Road,Gurgaon",completed,,28.4090032,77.0658497,,magicbricks,"Golf Course Extension Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Sky Terraces,"Sector 66,Gurgaon",completed,₹4.20 Cr   -₹4.74 Cr,28.3974292,77.0538823,,magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Project Commonwealth Games Village 2010,"Commonwealth Games Village,New Delhi",completed,₹3.71 Cr   -₹4.52 Cr,,,,magicbricks,"Commonwealth Games Village,New Delhi, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,punet test,Test Test Prella,"Long Island,Andaman & Nicobar",ongoing,,12.3968182,92.9342976,"2 BHK 
										..",magicbricks,"Long Island,Andaman & Nicobar, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,punet test,Andaman project test,"Buniyadabad,Port Blair",ongoing,,,,,magicbricks,"Buniyadabad,Port Blair, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,punet test,rktesttwosub,"Camorta Island test,Andaman & Nicobar",completed,₹76.4 Lac   -₹1.0 Cr,,,,magicbricks,"Camorta Island test,Andaman & Nicobar, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Shekhar Binawat Developer,Project Avatar,"Aberdeen Village,Port Blair",completed,,,,,magicbricks,"Aberdeen Village,Port Blair, Port Blair, Andaman and Nicobar Islands, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Newlands,"Tellapur,Hyderabad",ongoing,₹1.42 Cr   -₹1.92 Cr,17.4533558,78.2905362,"3 BHK 
										Multistorey Apartment..",magicbricks,"Tellapur,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Sarovar Zicon,"Nallagandla,Hyderabad",ongoing,₹1.71 Cr   -₹3.17 Cr,17.4774828,78.3060359,Multistorey Apartment..,magicbricks,"Nallagandla,Hyderabad, Guntur, Andhra Pradesh, India"
